AuthorId,audio_arousal_bin_0,audio_arousal_bin_1,audio_arousal_bin_2,audio_arousal_bin_3,audio_arousal_bin_4,audio_arousal_bin_5,audio_arousal_bin_6,audio_arousal_bin_7,audio_arousal_bin_8,audio_arousal_bin_9,audio_arousal_bin_10,audio_arousal_bin_11,audio_dominance_bin_0,audio_dominance_bin_1,audio_dominance_bin_2,audio_dominance_bin_3,audio_dominance_bin_4,audio_dominance_bin_5,audio_dominance_bin_6,audio_dominance_bin_7,audio_dominance_bin_8,audio_dominance_bin_9,audio_dominance_bin_10,audio_dominance_bin_11,audio_valence_bin_0,audio_valence_bin_1,audio_valence_bin_2,audio_valence_bin_3,audio_valence_bin_4,audio_valence_bin_5,audio_valence_bin_6,audio_valence_bin_7,audio_valence_bin_8,audio_valence_bin_9,audio_valence_bin_10,audio_valence_bin_11,audio_arousal_min,audio_dominance_min,audio_valence_min,audio_arousal_max,audio_dominance_max,audio_valence_max,audio_arousal_mean,audio_dominance_mean,audio_valence_mean,audio_arousal_std,audio_dominance_std,audio_valence_std
664144,0.0,0.0,0.0,0.0,0.02,0.0,0.06,0.1,0.52,0.24,0.04,0.02,0.0,0.0,0.0,0.0,0.02,0.0,0.12,0.38,0.38,0.06,0.04,0.0,0.0,0.02,0.02,0.0,0.02,0.08,0.2,0.34,0.22,0.1,0.0,0.0,0.39,0.37,0.01,1.0,0.92,0.87,0.755,0.6998000000000001,0.6288,0.100574878187592,0.0948143190770298,0.1662631305233621
1114977,0.0,0.0,0.0,0.0,0.0212765957446808,0.0,0.1063829787234042,0.1914893617021276,0.2127659574468085,0.3191489361702128,0.1063829787234042,0.0425531914893617,0.0,0.0,0.0,0.0212765957446808,0.0,0.0,0.1489361702127659,0.2553191489361702,0.2978723404255319,0.2127659574468085,0.0638297872340425,0.0,0.0,0.0212765957446808,0.0425531914893617,0.0851063829787234,0.1702127659574468,0.1276595744680851,0.1489361702127659,0.1276595744680851,0.1063829787234042,0.1489361702127659,0.0212765957446808,0.0,0.31,0.29,0.06,1.05,0.93,0.91,0.7636170212765958,0.7142553191489361,0.5327659574468085,0.1437604518985132,0.1233542914579447,0.2241088839367807
1383916,0.0,0.0,0.0,0.0,0.04,0.0,0.06,0.34,0.32,0.22,0.02,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.1,0.42,0.28,0.16,0.0,0.0,0.0,0.0,0.04,0.16,0.14,0.12,0.1,0.16,0.26,0.02,0.0,0.0,0.32,0.32,0.18,0.93,0.83,0.88,0.7128,0.6938,0.5356000000000001,0.1063118247498021,0.0944995410851614,0.2075135599208408
1438089,0.0,0.0,0.02,0.0,0.06,0.1,0.28,0.26,0.16,0.08,0.04,0.0,0.0,0.0,0.02,0.02,0.04,0.12,0.28,0.3,0.16,0.06,0.0,0.0,0.0,0.0,0.04,0.06,0.1,0.28,0.26,0.16,0.06,0.04,0.0,0.0,0.14,0.17,0.14,0.92,0.83,0.83,0.6175999999999999,0.6006,0.5064,0.1573318344215467,0.1329325438878297,0.1512365359161548
1531212,0.0,0.0,0.0,0.0,0.0,0.02,0.18,0.24,0.32,0.16,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.26,0.26,0.26,0.18,0.0,0.0,0.0,0.0,0.04,0.04,0.04,0.1,0.1,0.22,0.3,0.16,0.0,0.0,0.49,0.44,0.12,0.96,0.88,0.89,0.7145999999999999,0.6768000000000001,0.6294,0.1179105506694955,0.108165406216779,0.1883376256208243
1543372,0.0,0.0,0.0,0.0208333333333333,0.0,0.0625,0.125,0.25,0.2083333333333333,0.25,0.0833333333333333,0.0,0.0,0.0,0.0,0.0208333333333333,0.0416666666666666,0.0833333333333333,0.2083333333333333,0.3125,0.1875,0.1041666666666666,0.0416666666666666,0.0,0.0,0.0,0.0208333333333333,0.0625,0.1041666666666666,0.2291666666666666,0.3333333333333333,0.125,0.0833333333333333,0.0416666666666666,0.0,0.0,0.24,0.22,0.15,0.99,0.93,0.85,0.7122916666666667,0.6458333333333334,0.5208333333333334,0.1583994356229647,0.1483359231585214,0.148608200188013
2030578,0.0,0.0,0.0,0.0204081632653061,0.0,0.0408163265306122,0.1020408163265306,0.2653061224489796,0.2448979591836734,0.2653061224489796,0.0612244897959183,0.0,0.0,0.0,0.0,0.0204081632653061,0.0204081632653061,0.1020408163265306,0.2448979591836734,0.2040816326530612,0.2653061224489796,0.1428571428571428,0.0,0.0,0.0,0.0,0.0,0.0204081632653061,0.1428571428571428,0.2040816326530612,0.2857142857142857,0.1428571428571428,0.1632653061224489,0.0408163265306122,0.0,0.0,0.28,0.29,0.28,0.98,0.87,0.86,0.7185714285714286,0.6530612244897959,0.5487755102040817,0.1381876743176949,0.1336382567735354,0.1439420116612534
2073005,0.0,0.0,0.0,0.0416666666666666,0.0,0.0208333333333333,0.125,0.2291666666666666,0.2708333333333333,0.2291666666666666,0.0833333333333333,0.0,0.0,0.0,0.0,0.0416666666666666,0.0,0.0208333333333333,0.1458333333333333,0.375,0.1875,0.2291666666666666,0.0,0.0,0.0,0.0,0.0208333333333333,0.1458333333333333,0.125,0.1041666666666666,0.3125,0.1875,0.0416666666666666,0.0625,0.0,0.0,0.21,0.26,0.18,0.97,0.88,0.86,0.7191666666666667,0.6775000000000001,0.5145833333333333,0.1575589499045847,0.1358738463710348,0.1768393709572825
2317433,0.0,0.0,0.02,0.02,0.04,0.04,0.16,0.28,0.1,0.16,0.16,0.02,0.0,0.0,0.0,0.06,0.04,0.08,0.18,0.26,0.12,0.22,0.04,0.0,0.0,0.02,0.1,0.1,0.16,0.16,0.24,0.1,0.04,0.04,0.04,0.0,0.17,0.21,0.03,1.02,0.94,0.99,0.6948000000000001,0.6454000000000001,0.4652,0.1957011465871117,0.1792980644579504,0.2105216068216645
2471704,0.0555555555555555,0.0,0.0,0.0,0.0555555555555555,0.1111111111111111,0.1111111111111111,0.3333333333333333,0.2222222222222222,0.1111111111111111,0.0,0.0,0.0,0.0555555555555555,0.0,0.0,0.0555555555555555,0.2222222222222222,0.1666666666666666,0.2222222222222222,0.2777777777777778,0.0,0.0,0.0,0.0,0.0,0.0555555555555555,0.1111111111111111,0.0555555555555555,0.2777777777777778,0.1666666666666666,0.2777777777777778,0.0555555555555555,0.0,0.0,0.0,-0.02,0.08,0.15,0.87,0.79,0.79,0.6072222222222222,0.5688888888888889,0.4883333333333333,0.2146900791032494,0.1844192438883205,0.1723624771503698
