AuthorId,text_CaptionLength_bin_0,text_CaptionLength_bin_1,text_CaptionLength_bin_2,text_CaptionLength_bin_3,text_CaptionLength_bin_4,text_CaptionLength_bin_5,text_CaptionLength_bin_6,text_CaptionLength_bin_7,text_CaptionLength_bin_8,text_CaptionLength_bin_9,text_CaptionLength_bin_10,text_CaptionLength_bin_11,text_EmojisLength_bin_0,text_EmojisLength_bin_1,text_EmojisLength_bin_2,text_EmojisLength_bin_3,text_EmojisLength_bin_4,text_EmojisLength_bin_5,text_EmojisLength_bin_6,text_EmojisLength_bin_7,text_EmojisLength_bin_8,text_EmojisLength_bin_9,text_EmojisLength_bin_10,text_EmojisLength_bin_11,text_CaptionLength_min,text_EmojisLength_min,text_CaptionLength_max,text_EmojisLength_max,text_CaptionLength_mean,text_EmojisLength_mean,text_CaptionLength_std,text_EmojisLength_std,text_EmoNegative_bin_0,text_EmoNegative_bin_1,text_EmoNegative_bin_2,text_EmoNegative_bin_3,text_EmoNegative_bin_4,text_EmoNegative_bin_5,text_EmoNegative_bin_6,text_EmoNegative_bin_7,text_EmoNegative_bin_8,text_EmoNegative_bin_9,text_EmoNegative_bin_10,text_EmoNegative_bin_11,text_EmoNeutral_bin_0,text_EmoNeutral_bin_1,text_EmoNeutral_bin_2,text_EmoNeutral_bin_3,text_EmoNeutral_bin_4,text_EmoNeutral_bin_5,text_EmoNeutral_bin_6,text_EmoNeutral_bin_7,text_EmoNeutral_bin_8,text_EmoNeutral_bin_9,text_EmoNeutral_bin_10,text_EmoNeutral_bin_11,text_EmoPositive_bin_0,text_EmoPositive_bin_1,text_EmoPositive_bin_2,text_EmoPositive_bin_3,text_EmoPositive_bin_4,text_EmoPositive_bin_5,text_EmoPositive_bin_6,text_EmoPositive_bin_7,text_EmoPositive_bin_8,text_EmoPositive_bin_9,text_EmoPositive_bin_10,text_EmoPositive_bin_11,text_EmoSentScore_bin_0,text_EmoSentScore_bin_1,text_EmoSentScore_bin_2,text_EmoSentScore_bin_3,text_EmoSentScore_bin_4,text_EmoSentScore_bin_5,text_EmoSentScore_bin_6,text_EmoSentScore_bin_7,text_EmoSentScore_bin_8,text_EmoSentScore_bin_9,text_EmoSentScore_bin_10,text_EmoSentScore_bin_11,text_EmoNegative_min,text_EmoNeutral_min,text_EmoPositive_min,text_EmoSentScore_min,text_EmoNegative_max,text_EmoNeutral_max,text_EmoPositive_max,text_EmoSentScore_max,text_EmoNegative_mean,text_EmoNeutral_mean,text_EmoPositive_mean,text_EmoSentScore_mean,text_EmoNegative_std,text_EmoNeutral_std,text_EmoPositive_std,text_EmoSentScore_std
664144,0.0,0.02,0.08,0.2,0.2,0.24,0.14,0.06,0.0,0.04,0.0,0.02,0.0,0.4,0.0,0.38,0.0,0.0,0.14,0.0,0.04,0.0,0.0,0.04,2,0,76,4,31.82,0.94,14.28527142170693,1.0382481320346642,0.0,0.4680851063829787,0.1063829787234042,0.0425531914893617,0.0,0.3404255319148936,0.0425531914893617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2553191489361702,0.5957446808510638,0.0851063829787234,0.0,0.0212765957446808,0.0425531914893617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0638297872340425,0.3829787234042553,0.0425531914893617,0.1063829787234042,0.1702127659574468,0.2340425531914893,0.0,0.0,0.0,0.0,0.0425531914893617,0.0212765957446808,0.3191489361702128,0.0,0.0425531914893617,0.0,0.0638297872340425,0.1063829787234042,0.1276595744680851,0.2340425531914893,0.0425531914893617,0.0,0.1734475374732334,0.2075471698113207,-0.368,0.5912610619469026,0.6666666666666666,0.7561361836896279,0.713,0.2384984742381408,0.2532953668359924,0.5082061589258667,0.2696382978723404,0.2033241396362491,0.1097330681883755,0.1853009835481801,0.3732112949460408
1114977,0.0,0.1276595744680851,0.0,0.0638297872340425,0.0638297872340425,0.2553191489361702,0.2127659574468085,0.0638297872340425,0.1063829787234042,0.0638297872340425,0.0212765957446808,0.0212765957446808,0.0,0.2765957446808511,0.0425531914893617,0.2553191489361702,0.1489361702127659,0.1276595744680851,0.0851063829787234,0.0212765957446808,0.0,0.0212765957446808,0.0,0.0212765957446808,3,0,144,10,72.72340425531915,2.4468085106382977,34.079001648764645,2.224454116116717,0.0,0.1217391304347826,0.2869565217391304,0.4782608695652174,0.0,0.0956521739130434,0.017391304347826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0434782608695652,0.6695652173913044,0.0347826086956521,0.0260869565217391,0.0,0.2,0.008695652173913,0.017391304347826,0.0,0.0,0.0,0.0,0.0,0.3043478260869565,0.0347826086956521,0.4956521739130435,0.0347826086956521,0.0956521739130434,0.0347826086956521,0.0,0.0,0.0,0.0,0.017391304347826,0.0260869565217391,0.0695652173913043,0.0,0.2260869565217391,0.4869565217391304,0.008695652173913,0.0608695652173913,0.0434782608695652,0.0521739130434782,0.008695652173913,0.0,0.162534435261708,0.2,-0.368,0.5912610619469026,0.8,0.7901863354037267,0.746,0.2105510984846929,0.3576610617870766,0.4317878397282303,0.2212869565217391,0.1205007922561484,0.1558295801750815,0.1409689586222506,0.2108535604422707
1383916,0.0,0.06,0.16,0.16,0.26,0.14,0.08,0.02,0.06,0.02,0.02,0.02,0.0,0.56,0.0,0.22,0.0,0.06,0.0,0.08,0.0,0.06,0.0,0.02,3,0,111,5,43.64,0.92,24.6690419889598,1.3528503544859103,0.0,0.1304347826086956,0.3478260869565217,0.1739130434782608,0.0217391304347826,0.2826086956521739,0.0434782608695652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0652173913043478,0.4782608695652174,0.0434782608695652,0.0652173913043478,0.0434782608695652,0.3043478260869565,0.0,0.0,0.0,0.0,0.0,0.0,0.0217391304347826,0.4565217391304347,0.1956521739130435,0.2391304347826087,0.0217391304347826,0.0217391304347826,0.0434782608695652,0.0,0.0,0.0,0.0,0.0217391304347826,0.0217391304347826,0.2826086956521739,0.0217391304347826,0.3260869565217391,0.1521739130434782,0.0217391304347826,0.0869565217391304,0.0217391304347826,0.0,0.0434782608695652,0.0267175572519083,0.1071428571428571,0.1629629629629629,-0.393,0.5555555555555556,0.6144393241167435,0.7901863354037267,0.746,0.2418771212863296,0.3884648155652882,0.369658063148382,0.127891304347826,0.1571805254997881,0.1723551755913856,0.1372136309955081,0.239441779354571
1438089,0.0,0.16,0.16,0.14,0.06,0.18,0.08,0.08,0.02,0.06,0.04,0.02,0.0,0.38,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.16,2,0,164,2,65.08,0.78,44.494365614407535,0.7082603003566023,0.0,0.6153846153846154,0.282051282051282,0.0769230769230769,0.0,0.0256410256410256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0512820512820512,0.358974358974359,0.0769230769230769,0.1538461538461538,0.2564102564102564,0.1025641025641025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0256410256410256,0.1025641025641025,0.4102564102564102,0.2051282051282051,0.0512820512820512,0.2051282051282051,0.0,0.0,0.0,0.0,0.0256410256410256,0.0256410256410256,0.0512820512820512,0.0769230769230769,0.3333333333333333,0.1025641025641025,0.1538461538461538,0.0256410256410256,0.0,0.1794871794871795,0.0256410256410256,0.0,0.109090909090909,0.2626728110599078,0.0,0.4,0.6666666666666666,0.7818181818181819,0.74,0.0911444564951214,0.3889398617401577,0.5199156817647208,0.4287692307692308,0.083247397763843,0.1593724687199494,0.1477319371727587,0.1790841409914788
1531212,0.0,0.26,0.44,0.2,0.04,0.02,0.0,0.0,0.0,0.02,0.0,0.02,0.0,0.6,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.02,23,0,189,2,55.26,0.42,29.65365379971698,0.5379477252503636,0.0,0.3809523809523809,0.0476190476190476,0.4285714285714285,0.0,0.1428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0476190476190476,0.0476190476190476,0.9047619047619048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1428571428571428,0.4285714285714285,0.0476190476190476,0.0476190476190476,0.2857142857142857,0.0,0.0,0.0476190476190476,0.0,0.1428571428571428,0.0,0.0,0.4285714285714285,0.0,0.0476190476190476,0.3333333333333333,0.0,0.0,0.0,0.0476190476190476,0.0,0.0,0.3431053203040173,-0.118,0.4793233082706767,0.2960255824577432,1.0,1.0,0.1926870386947373,0.2469601925008326,0.5603527688044299,0.3677142857142857,0.1438514177104801,0.0659177604655482,0.1658920696371137,0.3033295473337773
1543372,0.0,0.18,0.1,0.14,0.08,0.12,0.2,0.14,0.02,0.0,0.0,0.02,0.0,0.8,0.08,0.06,0.0,0.02,0.0,0.02,0.0,0.0,0.0,0.02,3,0,100,14,39.56,1.12,23.232770662429846,2.4878480168816663,0.0,0.625,0.1428571428571428,0.0357142857142857,0.0,0.1964285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0178571428571428,0.8035714285714286,0.0178571428571428,0.0714285714285714,0.0,0.0892857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1428571428571428,0.1428571428571428,0.0892857142857142,0.0535714285714285,0.0357142857142857,0.5357142857142857,0.0,0.0,0.0,0.0,0.1964285714285714,0.0,0.0,0.125,0.0178571428571428,0.0178571428571428,0.0357142857142857,0.0535714285714285,0.0178571428571428,0.5178571428571429,0.0178571428571428,0.0,0.1657142857142857,0.2626728110599078,-0.122,0.4364820846905538,0.6144393241167435,0.7901863354037267,0.746,0.1330135019651579,0.2858731639406008,0.5811133340942412,0.4480714285714285,0.1570861430829469,0.1186129051064747,0.1927298942815261,0.3308196354039935
2030578,0.0,0.04,0.08,0.2,0.16,0.2,0.04,0.06,0.1,0.06,0.02,0.04,0.0,0.16,0.0,0.0,0.42,0.0,0.0,0.36,0.0,0.0,0.0,0.06,33,0,163,3,91.34,1.32,33.013670637776585,0.8191583535332259,0.0,0.4545454545454545,0.3484848484848485,0.1969696969696969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3787878787878788,0.0606060606060606,0.2878787878787879,0.0,0.2575757575757575,0.0151515151515151,0.0,0.0,0.0,0.0,0.0,0.0,0.106060606060606,0.1818181818181818,0.2727272727272727,0.2878787878787879,0.1363636363636363,0.0151515151515151,0.0,0.0,0.0,0.0,0.0151515151515151,0.0909090909090909,0.1818181818181818,0.0454545454545454,0.2272727272727272,0.2121212121212121,0.1363636363636363,0.0606060606060606,0.0151515151515151,0.0,0.0151515151515151,0.0,0.2039473684210526,0.2195121951219512,0.063,0.2471618109697715,0.7398373983739838,0.7642543859649122,0.732,0.1107391905232676,0.4220184901948101,0.4672423192819221,0.3564242424242424,0.0805314691000206,0.1582900070030687,0.1243616147133672,0.1371857876251775
2073005,0.0,0.1041666666666666,0.1041666666666666,0.125,0.1666666666666666,0.1875,0.0833333333333333,0.1041666666666666,0.0833333333333333,0.0208333333333333,0.0,0.0208333333333333,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0833333333333333,0.0,0.0,0.0,0.0,0.0833333333333333,3,0,133,2,55.583333333333336,0.25,31.03863984005368,0.6014167670256413,0.0,0.3333333333333333,0.0833333333333333,0.3333333333333333,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.1666666666666666,0.0,0.0,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4166666666666667,0.3333333333333333,0.0833333333333333,0.0,0.1666666666666666,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0833333333333333,0.1666666666666666,0.0833333333333333,0.0,0.0,0.0,0.0833333333333333,0.0833333333333333,0.0,0.2177497575169738,0.3333333333333333,0.007,0.3845126835781041,0.6666666666666666,0.7201745877788555,0.659,0.2047222624761548,0.3253975028592001,0.4698802346646449,0.26525,0.140060466510545,0.1636666678322419,0.136883439117784,0.2232581567277096
2317433,0.0,0.16,0.18,0.2,0.18,0.1,0.06,0.04,0.02,0.0,0.04,0.02,0.0,0.76,0.12,0.02,0.0,0.04,0.02,0.0,0.02,0.0,0.0,0.02,2,0,146,7,49.04,0.6,34.441289885536975,1.4285714285714288,0.0,0.8333333333333334,0.0333333333333333,0.0333333333333333,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1333333333333333,0.2333333333333333,0.0666666666666666,0.0,0.4,0.0333333333333333,0.0,0.0,0.0,0.1333333333333333,0.0,0.1333333333333333,0.0333333333333333,0.0666666666666666,0.0333333333333333,0.2,0.3,0.0333333333333333,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1333333333333333,0.0333333333333333,0.0,0.2,0.2666666666666666,0.0333333333333333,0.2,0.0333333333333333,0.0,0.1763392857142857,0.0,-0.393,0.5912610619469026,1.0,0.7797619047619048,0.74,0.0919789515126689,0.4696715768491529,0.4383494716381781,0.3464666666666666,0.174821242863926,0.2558672120416184,0.2372402337439561,0.3289682652479261
2471704,0.0,0.2631578947368421,0.2105263157894736,0.1578947368421052,0.1052631578947368,0.1052631578947368,0.1052631578947368,0.0,0.0,0.0,0.0,0.0526315789473684,0.0,0.6842105263157895,0.0,0.0,0.2631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0526315789473684,8,0,107,3,34.21052631578947,0.4210526315789473,25.476740911768523,0.7685331969757723,0.0,0.875,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.125,0.25,0.375,0.0,0.0,0.0,0.0,0.25,0.0,0.125,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.25,0.0391120507399577,0.1657142857142857,0.4033018867924528,0.353,0.1269986295111923,0.5459905660377359,0.7901863354037267,0.746,0.0571140297248595,0.3095371367773397,0.6333488334978007,0.57625,0.0292219726894896,0.1535275391881425,0.1569712934582227,0.1653608608036203
