AuthorId,audio_neu,audio_hap,audio_sad,audio_ang
664144,0.32,0.4,0.16,0.12
1114977,0.2127659574468085,0.5957446808510638,0.14893617021276595,0.0425531914893617
1383916,0.46,0.12,0.4,0.02
1438089,0.28,0.38,0.14,0.2
1531212,0.04,0.68,0.28,0.0
1543372,0.4375,0.3333333333333333,0.1875,0.041666666666666664
2030578,0.6326530612244898,0.2653061224489796,0.061224489795918366,0.04081632653061224
2073005,0.20833333333333334,0.625,0.125,0.041666666666666664
2317433,0.2,0.62,0.12,0.06
2471704,0.2777777777777778,0.5,0.2222222222222222,0.0
2473899,0.54,0.26,0.1,0.1
2479784,0.32,0.5,0.08,0.1
2480709,0.24,0.52,0.2,0.04
2484149,0.30612244897959184,0.3673469387755102,0.12244897959183673,0.20408163265306123
2579295,0.2647058823529412,0.5294117647058824,0.20588235294117646,0.0
2629191,0.2653061224489796,0.40816326530612246,0.24489795918367346,0.08163265306122448
2852659,0.6,0.2,0.2,0.0
2879227,0.1111111111111111,0.7777777777777778,0.1111111111111111,0.0
2989624,0.4,0.44,0.08,0.08
3000499,0.14,0.54,0.18,0.14
3091386,0.26,0.28,0.04,0.42
3293886,0.125,0.6458333333333334,0.22916666666666666,0.0
3488064,0.6666666666666666,0.3333333333333333,0.0,0.0
3509670,0.42,0.44,0.14,0.0
3540944,0.38,0.3,0.28,0.04
3613402,0.45454545454545453,0.3939393939393939,0.06060606060606061,0.09090909090909091
3641632,0.2,0.36,0.36,0.08
3699061,0.28,0.6,0.1,0.02
3893331,0.14893617021276595,0.6382978723404256,0.0425531914893617,0.1702127659574468
4121160,0.32,0.52,0.08,0.08
4224375,0.42857142857142855,0.3877551020408163,0.14285714285714285,0.04081632653061224
4497488,0.18,0.5,0.16,0.16
5025723,0.15555555555555556,0.6,0.1111111111111111,0.13333333333333333
5229118,0.18,0.7,0.04,0.08
5237682,0.34782608695652173,0.5,0.13043478260869565,0.021739130434782608
5415746,0.34,0.52,0.1,0.04
5421079,0.28,0.6,0.1,0.02
5636738,0.18,0.58,0.16,0.08
5736988,0.22,0.52,0.22,0.04
5757775,0.16666666666666666,0.8333333333333334,0.0,0.0
5776048,0.28,0.32,0.34,0.06
5981131,0.16666666666666666,0.625,0.16666666666666666,0.041666666666666664
6212367,0.24489795918367346,0.46938775510204084,0.2653061224489796,0.02040816326530612
6385294,0.22,0.64,0.12,0.02
6703182,0.4,0.48,0.1,0.02
6812671,0.21052631578947367,0.5,0.2894736842105263,0.0
6873500,0.4,0.44,0.1,0.06
6875530,0.18,0.64,0.16,0.02
7414824,0.20833333333333334,0.7083333333333334,0.08333333333333333,0.0
7443373,0.14285714285714285,0.6122448979591837,0.1836734693877551,0.061224489795918366
7483748,0.20408163265306123,0.4897959183673469,0.16326530612244897,0.14285714285714285
7506869,0.26,0.52,0.18,0.04
7507328,0.47058823529411764,0.29411764705882354,0.058823529411764705,0.17647058823529413
7510473,0.06,0.72,0.2,0.02
