"VideoID","video_hasText"
"-QIAgzwOtOU",TRUE
"-R3zNWiyGeg",TRUE
"-R7BWd8vIdw",FALSE
"-RBBQXU1xIQ",TRUE
"-RI2d64_NnE",TRUE
"-RRAyGtEtrs",TRUE
"-RRc2ZZnJyM",FALSE
"-RXDJYm_hdM",TRUE
"-RoKfmq-IcA",FALSE
"-SDvk-UpvTo",TRUE
"-SKmsxxyaBY",FALSE
"-SbAOzOOnsM",TRUE
"-SgKwPD7Ahs",TRUE
"-Sj--1aQwG4",TRUE
"-SmIAae2T-8",TRUE
"-Sp0PQF0h0g",FALSE
"-Spz5xkRmmU",TRUE
"-SrsAB3vKHs",FALSE
"-Sv4lKO6ZlQ",TRUE
"-Te0RW-_vMc",TRUE
"-TndbGWjavY",FALSE
"-TuNDeSLWsI",FALSE
"-TvfvrWps-M",TRUE
"-TxAUx5hJpY",TRUE
"-U3WBQMsOOk",TRUE
"-U4ySN4LHSY",TRUE
"-UBhzsDMS1Q",FALSE
"-UEOF19d8Ow",TRUE
"-UEiCuzPWO0",TRUE
"-ULSHdKgjoE",TRUE
"-Uc4-Fsr6x0",FALSE
"-Ui07fGhl0s",FALSE
"-Uj-RPTXwkY",FALSE
"-UlRQGKH4tw",TRUE
"-UpAA4QHTlI",TRUE
"-UpMw5rAvYg",TRUE
"-UpXbN--gy8",TRUE
"-Uu4n2DvYFo",TRUE
"-UvdJXu0pQc",FALSE
"-V-iJVMP0E8",TRUE
"-VFLP0VMHsg",FALSE
"-V_1sHJj2Tc",TRUE
"-VaRX2NFvj4",TRUE
"-VcPaEwuiCQ",FALSE
"-VcYsPc0p6g",FALSE
"-VhfwydrMHQ",TRUE
"-W3dZoSr5Bk",FALSE
"-WAY0HUzwu0",TRUE
"-WCZlPVjJ-I",TRUE
"-WHs6bOBNWk",TRUE
"-WK0ayAuIt8",TRUE
"-WQwm5qh9Jc",TRUE
"-WRas4NjXZo",TRUE
"-WTobXjssRU",TRUE
"-Wc4PwrO56w",TRUE
"-WfSSnSlvoc",FALSE
"-WhGRMebkI8",TRUE
"-WmmgFW67Wo",TRUE
"-WoN39DeEZY",TRUE
"-WwPxSvV9UI",TRUE
"-WyNpoIxDxU",TRUE
"-X2ROL_GTp0",TRUE
"-X74q9n5VeA",TRUE
"-XAACfS_Ylk",TRUE
"-XAMuGzV5c8",TRUE
"-XHqL9K-m84",TRUE
"-XO7Bmg2l4o",FALSE
"-XorMjnConk",TRUE
"-Y7pf9JuktQ",FALSE
"-YQ4wZxtZ5I",TRUE
"-YQ7blkFrAE",TRUE
"-YmLReUhtnA",FALSE
"-Z5KlsGDEk4",TRUE
"-Z9Vztr0CAI",FALSE
"-ZC3yKN4oJc",TRUE
"-ZV8fFpdwjU",FALSE
"-_AgzUfeSrU",TRUE
"-_dAFz5vkqM",FALSE
"-_w3qXcCBgo",FALSE
"-_xBAGOtbA8",TRUE
"-a-UEzhGUXw",FALSE
"-a18roZTIBc",TRUE
"-aE9jaZTcAA",FALSE
"-aO0Q5vMl8g",FALSE
"-a_1GxGRtNs",TRUE
"-ad9imh6IWQ",TRUE
"-aqX0oZBqf0",TRUE
"-arS1tUa4Yw",FALSE
"-axr-7xsOeg",FALSE
"-bDa4bPTfkk",TRUE
"-bLJbpaunDE",FALSE
"-bzJEK7pvq4",TRUE
"-c-s739eTCY",TRUE
"-cBfkMyRdUo",TRUE
"-cG42b6zFFc",TRUE
"-cRtfsfCz7A",TRUE
"-cca2LonCAc",TRUE
"-chCv0xr1Q8",FALSE
"-cnqTIT_8q8",TRUE
"-cz-A1XPctI",TRUE
"-czvrjfMe2A",FALSE
"-dFoKAttk0g",TRUE
"-dG1khDzweI",TRUE
"-dIyCP2I9wM",TRUE
"-dSD2PZhuOA",FALSE
"-dU9IWAJlgg",FALSE
"-dZvxafw6DY",TRUE
"-dbOEdLpPcc",TRUE
"-deVOzVpMHY",FALSE
"-djZHeLQ9Rc",TRUE
"-e7QygNkw9c",TRUE
"-ePuQbU21lY",TRUE
"-e_5buXhsgs",FALSE
"-ea0Q9ooev0",TRUE
"-edhRFxCP_Q",FALSE
"-ej_qc1cVUM",TRUE
"-eksawranAU",FALSE
"-elaGVRQvCo",FALSE
"-eodAd4cr8E",TRUE
"-f968OcmtAk",TRUE
"-fCYf7xw8O8",FALSE
"-fZGtC7bROw",FALSE
"-fgdoCf_42I",TRUE
"-fqdQ0BW2HM",TRUE
"-fu0B5umzGI",FALSE
"-fzFrjoFgKs",TRUE
"-g-MGrSlF2U",TRUE
"-gCNla5y-og",TRUE
"-gDC2OxCoGw",FALSE
"-gEOA6yZPmM",FALSE
"-g_3vrzMrwg",TRUE
"-gi3rUFy_Ts",TRUE
"-gm1BVuDMWU",FALSE
"-gteO9fq7rk",TRUE
"-gyKgTn_3Nc",FALSE
"-gyqldcpesY",FALSE
"-h02mcSPh6A",TRUE
"-hAcJDTO_iA",TRUE
"-hDAI528qhE",FALSE
"-hEWswN-JRs",TRUE
"-hYmH0nkRiA",TRUE
"-haT_GHmdcs",TRUE
"-hcg8ajb05s",TRUE
"-hkg6oA2qFc",TRUE
"-hxaoTYbNSk",FALSE
"-iAxo7JJChw",FALSE
"-iFjoutgbqc",TRUE
"-iKeG0tXqI8",FALSE
"-iPtLqVdePI",FALSE
"-idxVsgZ1tM",TRUE
"-ivibxaH3C8",TRUE
"-iy55_eKC44",FALSE
"-j5_18BwnvU",TRUE
"-j93cM61lAk",TRUE
"-jCYxqH8csg",FALSE
"-jJ98SBVt9c",TRUE
"-jKkbRB6_fI",TRUE
"-jMnjuUXFtw",FALSE
"-jWiBf6Lwa8",FALSE
"-k-E6GD_U0k",TRUE
"-k83G13kRlE",FALSE
"-k9n1FsBbiA",TRUE
"-kE6eRKgsGY",TRUE
"-kHb3ZJQ_tI",TRUE
"-kNq8s4PQcc",FALSE
"-kYHewwhKxU",TRUE
"-kZhRgKm2Fc",TRUE
"-kZwzUR3oNM",TRUE
"-kbik_81cYI",FALSE
"-kzatfVAxrw",FALSE
"-lKyoglUJSM",TRUE
"-lUId1tCsFs",TRUE
"-lWzcsqsHKE",TRUE
"-lZemGKADl4",FALSE
"-lttBAvgUJc",FALSE
"-m7GmzxZVv4",TRUE
"-m8RkA63C2M",TRUE
"-mJFhZa8TQ8",FALSE
"-mU8wJ1m7QM",FALSE
"-mW37Wn3m9Y",TRUE
"-meaqBLFZfU",TRUE
"-miWdMVDC2Y",TRUE
"-mtDyZxmq1I",FALSE
"-myaxHIwqAc",TRUE
"-nMlMmUA-tY",TRUE
"-nPMlq5yLTU",TRUE
"-nhtbHV72l8",TRUE
"-nrkFx3aZOc",TRUE
"-o8QV-NWNc8",FALSE
"-oBAWSdo_yM",TRUE
"-oP90OmTZGs",TRUE
"-oR0l9EhdpQ",FALSE
"-oSirmYZuEE",FALSE
"-otJA32UlYs",TRUE
"-p75PZmNUDA",TRUE
"-pDwlaUn78g",TRUE
"-pFhcih3uKk",TRUE
"-pHcA9ddzIg",TRUE
"-pQfKK4PwF8",TRUE
"-pT07O0YhBA",TRUE
