"VideoID","duration","height","width","heightXwidth"
"4IH5tRhrKTA",41,1280,720,921600
"4Ia0VoPKWeo",40,1280,720,921600
"4Is_jbtQohw",33,1280,720,921600
"4IyP6OPwArA",8,1280,720,921600
"4J6I5yTY5Rk",60,1280,720,921600
"4J7YLKr-uzM",56,1206,720,868320
"4JN02tcfNeU",23,1280,720,921600
"4JVFLbLT7cc",20,1280,720,921600
"4JYpTN4G9qc",30,720,406,292320
"4Jf2W2r4wbg",44,1280,720,921600
"4Jpc0EI6AQs",17,720,406,292320
"4Jrm6a09Z5g",46,1280,720,921600
"4KJKH6kCneY",34,1280,720,921600
"4KRIxCB8BQs",22,1280,720,921600
"4KTZuSKEwhE",59,1280,714,913920
"4KW7dJXuDUQ",59,1280,720,921600
"4Kjif_wHzks",50,720,406,292320
"4KzGWyeEyg0",56,1280,720,921600
"4LD4bX9Ik4M",36,900,720,648000
"4LO1t7tSK-w",60,1280,720,921600
"4L_mbL7ntGI",55,1280,720,921600
"4LdACljIXe0",51,1280,720,921600
"4MEVvfEns_M",32,1280,720,921600
"4MQuJ9V3blM",21,720,406,292320
"4MZC5vIuWk0",29,720,406,292320
"4MjCbwZjuas",24,1280,720,921600
"4MjgeR7nN20",21,1280,720,921600
"4Mq7YHH3xKs",15,1280,720,921600
"4Mv7CW0ConQ",59,1280,720,921600
"4NAJ3FgKjtM",15,1080,608,656640
"4NNBJq8dZRQ",19,720,720,518400
"4NOzBJaE1jk",57,1280,720,921600
"4NUiYLGg6rk",7,1280,720,921600
"4OCsutmHRVk",45,720,406,292320
"4OE0v2IJmr4",60,1280,720,921600
"4OFc8Vtwosg",60,1280,720,921600
"4OHQCdFw7Bs",40,1080,608,656640
"4OKYrzg-xH0",15,900,720,648000
"4OeGkW45Gx0",60,1280,720,921600
"4OiODFAdJDc",45,1280,720,921600
"4P-iRLwcz60",27,1280,720,921600
"4P9iBGQvPRc",36,720,406,292320
"4PDCOM9SYOI",56,1280,720,921600
"4PgAEbzd494",52,1280,720,921600
"4Ph_XJLGD04",7,1280,720,921600
"4Q-Qw43s8aI",58,1280,720,921600
"4Q3D2155-5w",55,720,406,292320
"4Q9EBvVq01Y",60,1280,720,921600
"4QEU4OaPs7c",41,720,720,518400
"4QH27Kc2HrY",24,1280,720,921600
"4QHBwpaOZ0c",50,720,720,518400
"4Qs5uczaJw0",17,1280,720,921600
"4R-BXPlwvP0",45,1280,720,921600
"4R-bIZ-4MdY",52,720,406,292320
"4RBDteizb98",56,1280,720,921600
"4RCuWEhun08",23,1280,720,921600
"4RYXKmaVe6Y",59,1280,720,921600
"4RbLnZElc-Q",48,1280,720,921600
"4RlwlPB0D0U",60,1280,720,921600
"4SezvQFXR68",27,1280,720,921600
"4SpqHC8k9tw",59,720,406,292320
"4SxW2lHaXTo",60,1280,720,921600
"4T0qh99XjKs",53,1280,720,921600
"4TLCVLRb2Sg",60,1280,720,921600
"4TjvrPBvT4A",50,1280,720,921600
"4TywQi0ZORg",41,1024,576,589824
"4U-3BhboHGc",6,640,360,230400
"4U3dn9_4afE",54,1280,720,921600
"4U48_SO6jHE",49,1280,720,921600
"4U6yvhGGKww",53,1280,720,921600
"4UBQwR0K_eY",58,1280,720,921600
"4UNzmgNvJ34",16,1280,720,921600
"4Uck2kkkTxA",29,1280,720,921600
"4UdZB3MMf8Y",31,900,720,648000
"4UgEndrS2f8",30,720,720,518400
"4VEMzrTCePY",39,960,540,518400
"4VPR-ypmBCQ",45,1280,720,921600
